id_API,x,y,z,alternativeColorMap
211507,8.731409,5.049284,-1,#0000FF
215235,8.997196,4.742635,-1,#0000FF
216648,9.491279,5.3814554,-1,#0000FF
217986,9.828548,5.85933,-1,#0000FF
218158,9.204224,5.2625327,-1,#0000FF
219838,7.1372194,5.191872,-1,#0000FF
219937,9.929904,5.527832,-1,#0000FF
220534,9.348435,5.3010516,-1,#0000FF
221050,9.573534,5.747791,-1,#0000FF
221455,9.089546,5.0693436,-1,#0000FF
221600,7.6438866,4.8580484,-1,#0000FF
221852,9.426596,5.557248,-1,#0000FF
221942,9.362655,5.253222,-1,#0000FF
222630,9.462119,5.570472,-1,#0000FF
222899,8.809261,4.17952,-1,#0000FF
223038,9.394592,5.190718,-1,#0000FF
223461,9.293811,5.2409925,-1,#0000FF
223492,9.468742,5.308569,-1,#0000FF
223882,9.503892,5.744058,-1,#0000FF
224281,9.354483,5.3684497,-1,#0000FF
224667,7.6346636,4.6238914,-1,#0000FF
224781,9.3430395,5.20941,-1,#0000FF
225393,9.233311,5.5138645,-1,#0000FF
227766,9.022279,5.048445,-1,#0000FF
228378,7.458045,5.2084217,-1,#0000FF
233283,9.366804,4.856216,-1,#0000FF
233559,8.793863,4.245291,-1,#0000FF
243296,9.870884,6.290322,-1,#0000FF
245404,9.624786,5.9240084,-1,#0000FF
245699,9.81871,6.052363,-1,#0000FF
245869,9.943408,6.203008,-1,#0000FF
13041,-1.4798429,8.528647,-1,#0000FF
13331,-1.6081861,8.448892,-1,#0000FF
13486,5.4308114,0.85097575,-1,#0000FF
13590,3.4496891,-1.8712838,-1,#0000FF
14270,5.665484,4.5103045,-1,#0000FF
14356,8.698495,4.1795783,-1,#0000FF
14427,13.676809,7.0867577,-1,#0000FF
14455,6.2417746,4.5291367,-1,#0000FF
14459,6.2333164,4.418304,-1,#0000FF
14497,7.517985,4.207761,-1,#0000FF
14519,6.115622,4.6084647,-1,#0000FF
14543,6.1780705,4.540456,-1,#0000FF
14565,5.8590455,4.467567,-1,#0000FF
14617,5.9353623,4.6379685,-1,#0000FF
15180,10.742721,5.856172,-1,#0000FF
15238,9.28056,1.6595783,-1,#0000FF
15310,8.794125,4.7058463,-1,#0000FF
15484,11.219144,4.406375,-1,#0000FF
15516,4.485514,6.811993,-1,#0000FF
15701,6.7176747,5.807432,-1,#0000FF
15726,14.418326,8.464221,-1,#0000FF
15741,10.327331,4.650484,-1,#0000FF
15875,5.402876,6.5524073,-1,#0000FF
15987,10.835832,4.681332,-1,#0000FF
16154,9.494742,3.9072363,-1,#0000FF
16198,9.652299,3.4482236,-1,#0000FF
16261,5.221669,3.4090602,-1,#0000FF
16365,8.521531,6.549667,-1,#0000FF
16370,10.264328,4.671978,-1,#0000FF
16390,8.4709835,4.681696,-1,#0000FF
16396,4.470367,6.797306,-1,#0000FF
16413,14.325275,8.492019,-1,#0000FF
16443,9.495534,1.6626046,-1,#0000FF
16595,4.4235063,7.0541377,-1,#0000FF
16673,5.30369,7.8623104,-1,#0000FF
17229,9.377607,4.5396876,-1,#0000FF
18314,6.50155,3.2033718,-1,#0000FF
19066,9.707906,4.597115,-1,#0000FF
20670,4.9649925,7.7313824,-1,#0000FF
20990,5.4721,3.4398994,-1,#0000FF
21457,7.9058423,6.5856,-1,#0000FF
21628,7.2073402,4.330492,-1,#0000FF
21701,6.792613,4.3570895,-1,#0000FF
24969,10.026657,6.547793,-1,#0000FF
24980,5.8192782,4.4898405,-1,#0000FF
