id_API,x,y,z,alternativeColorMap
196440,7.773714,4.5377593,0,#0000FF
198085,8.924232,4.38198,18,#e377c2
200790,8.891338,3.3843026,0,#0000FF
203111,7.9013014,4.5340676,0,#0000FF
203486,7.745492,4.753082,18,#e377c2
203902,7.3730783,5.249868,0,#0000FF
204040,8.733686,4.283284,0,#0000FF
205022,8.793603,4.79891,0,#0000FF
206007,7.5437226,4.8351536,0,#0000FF
207448,10.097069,4.936118,0,#0000FF
207623,7.583684,4.754911,0,#0000FF
209465,9.813802,5.822935,0,#0000FF
209756,8.811318,4.5014606,0,#0000FF
209976,8.918441,4.6689644,0,#0000FF
211507,8.731409,5.049284,0,#0000FF
215235,8.997196,4.742635,18,#e377c2
216648,9.491279,5.3814554,0,#0000FF
217986,9.828548,5.85933,0,#0000FF
218158,9.204224,5.2625327,29,#8c564b
219838,7.1372194,5.191872,0,#0000FF
219937,9.929904,5.527832,0,#0000FF
220534,9.348435,5.3010516,18,#e377c2
221050,9.573534,5.747791,0,#0000FF
221455,9.089546,5.0693436,0,#0000FF
221600,7.6438866,4.8580484,13,#e377c2
221852,9.426596,5.557248,0,#0000FF
221942,9.362655,5.253222,18,#e377c2
222630,9.462119,5.570472,29,#8c564b
222899,8.809261,4.17952,0,#0000FF
223038,9.394592,5.190718,0,#0000FF
223461,9.293811,5.2409925,0,#0000FF
223492,9.468742,5.308569,0,#0000FF
223882,9.503892,5.744058,18,#e377c2
224281,9.354483,5.3684497,0,#0000FF
224667,7.6346636,4.6238914,0,#0000FF
224781,9.3430395,5.20941,18,#e377c2
225393,9.233311,5.5138645,18,#e377c2
227766,9.022279,5.048445,18,#e377c2
228378,7.458045,5.2084217,0,#0000FF
233283,9.366804,4.856216,0,#0000FF
233559,8.793863,4.245291,18,#e377c2
243296,9.870884,6.290322,18,#e377c2
245404,9.624786,5.9240084,18,#e377c2
245699,9.81871,6.052363,0,#0000FF
245869,9.943408,6.203008,18,#e377c2
13041,-1.4798429,8.528647,0,#0000FF
13331,-1.6081861,8.448892,0,#0000FF
13486,5.4308114,0.85097575,0,#0000FF
13590,3.4496891,-1.8712838,0,#0000FF
14270,5.665484,4.5103045,0,#0000FF
14356,8.698495,4.1795783,0,#0000FF
14427,13.676809,7.0867577,18,#e377c2
14455,6.2417746,4.5291367,18,#e377c2
14459,6.2333164,4.418304,29,#8c564b
14497,7.517985,4.207761,0,#0000FF
14519,6.115622,4.6084647,18,#e377c2
14543,6.1780705,4.540456,0,#0000FF
14565,5.8590455,4.467567,29,#8c564b
14617,5.9353623,4.6379685,0,#0000FF
15180,10.742721,5.856172,18,#e377c2
15238,9.28056,1.6595783,0,#0000FF
15310,8.794125,4.7058463,0,#0000FF
15484,11.219144,4.406375,0,#0000FF
15516,4.485514,6.811993,0,#0000FF
15701,6.7176747,5.807432,0,#0000FF
15726,14.418326,8.464221,29,#8c564b
15741,10.327331,4.650484,18,#e377c2
15875,5.402876,6.5524073,0,#0000FF
15987,10.835832,4.681332,0,#0000FF
16154,9.494742,3.9072363,18,#e377c2
16198,9.652299,3.4482236,0,#0000FF
16261,5.221669,3.4090602,0,#0000FF
16365,8.521531,6.549667,18,#e377c2
16370,10.264328,4.671978,0,#0000FF
16390,8.4709835,4.681696,0,#0000FF
16396,4.470367,6.797306,0,#0000FF
16413,14.325275,8.492019,0,#0000FF
16443,9.495534,1.6626046,0,#0000FF
16595,4.4235063,7.0541377,0,#0000FF
16673,5.30369,7.8623104,0,#0000FF
17229,9.377607,4.5396876,0,#0000FF
18314,6.50155,3.2033718,0,#0000FF
19066,9.707906,4.597115,0,#0000FF
20670,4.9649925,7.7313824,18,#e377c2
20990,5.4721,3.4398994,0,#0000FF
21457,7.9058423,6.5856,18,#e377c2
21628,7.2073402,4.330492,0,#0000FF
21701,6.792613,4.3570895,0,#0000FF
24969,10.026657,6.547793,0,#0000FF
24980,5.8192782,4.4898405,50,#2ca02c
25019,9.789799,8.386517,18,#e377c2
25108,5.2373185,6.2529473,29,#8c564b
25217,6.489626,3.2092674,0,#0000FF
25619,9.769314,3.1262994,18,#e377c2
25738,5.456441,5.2741146,18,#e377c2
160082,9.328659,4.9613695,0,#0000FF
160176,10.32495,5.7254825,0,#0000FF
160530,10.37792,5.8174586,0,#0000FF
160583,9.640741,6.118462,0,#0000FF
160631,10.332021,5.742212,0,#0000FF
160726,10.360895,5.8300853,0,#0000FF
160841,9.835244,5.9190297,0,#0000FF
160978,10.352477,5.733427,18,#e377c2
161001,10.211061,5.8572836,0,#0000FF
161004,10.241917,5.679208,0,#0000FF
161018,9.823871,5.7940826,18,#e377c2
161119,10.114439,5.846704,0,#0000FF
161181,10.312129,5.794256,0,#0000FF
162606,5.2514257,1.1506387,0,#0000FF
163647,5.2427483,1.1228501,0,#0000FF
164977,5.2431955,1.1461983,0,#0000FF
164985,5.2575674,1.1748791,0,#0000FF
167238,5.4944324,0.9433785,0,#0000FF
167658,9.424421,5.67399,0,#0000FF
167981,5.433812,0.84727544,0,#0000FF
168035,5.4398746,0.8147951,0,#0000FF
168206,10.003587,4.950358,59,#2ca02c
168237,5.487755,0.75610495,0,#0000FF
168313,5.3270307,1.0410264,0,#0000FF
168441,5.4590116,0.7829155,0,#0000FF
168457,5.4287963,0.86543715,0,#0000FF
169284,9.448043,5.2755938,29,#8c564b
169304,8.694648,5.0337157,42,#d62728
169785,9.761547,6.0205646,18,#e377c2
169816,9.566571,5.63491,0,#0000FF
169843,9.623357,5.683353,0,#0000FF
169853,9.9899235,5.8352466,0,#0000FF
169861,9.590354,5.710449,18,#e377c2
170215,8.946103,4.332157,0,#0000FF
171158,7.7071576,4.6348963,0,#0000FF
171303,9.23225,5.1472173,50,#2ca02c
171365,9.347411,5.1490507,0,#0000FF
171492,8.884575,4.5902357,0,#0000FF
171586,7.7410774,4.680445,0,#0000FF
171770,9.358567,5.110467,42,#d62728
177862,7.4073577,5.1253257,0,#0000FF
179930,8.823208,5.1909347,0,#0000FF
180444,9.991818,5.5458183,0,#0000FF
174859,8.7304945,4.0931273,29,#8c564b
175198,7.8367696,4.499972,0,#0000FF
183709,7.51287,5.200982,0,#0000FF
184023,9.295411,5.2756486,0,#0000FF
185321,9.6052265,5.5462327,0,#0000FF
185413,9.589928,5.927429,0,#0000FF
186365,9.202553,4.930146,29,#8c564b
186601,7.8924637,4.4800076,18,#e377c2
187833,7.0082707,5.083495,0,#0000FF
188546,7.761535,4.5462866,0,#0000FF
188626,9.375566,5.206033,0,#0000FF
191024,9.876722,5.5881505,0,#0000FF
191280,8.865343,5.049654,18,#e377c2
191305,7.491541,4.9020085,0,#0000FF
191634,8.288355,4.844737,29,#8c564b
192114,7.621293,5.3754425,29,#8c564b
192890,9.205358,5.1565123,0,#0000FF
192901,7.5845456,4.673187,0,#0000FF
193304,7.161816,5.10463,18,#e377c2
194612,9.324459,4.979975,18,#e377c2
195878,9.120127,4.3636284,50,#2ca02c
196754,7.622181,4.674249,0,#0000FF
201339,9.027517,5.4674115,0,#0000FF
202792,9.327182,5.221902,0,#0000FF
203756,9.088785,5.078639,0,#0000FF
207708,9.533433,5.6081653,50,#2ca02c
212502,9.663486,5.615745,0,#0000FF
212554,8.552523,4.2912765,0,#0000FF
213381,9.289159,4.4560328,18,#e377c2
213552,9.173192,5.650112,0,#0000FF
213581,9.234474,5.5577974,0,#0000FF
