id_API,anoApresentacao,dataApresentacao,tipo,ano_query,temas,partidos
59850,2002.0,2002-06-26T19:54,Projeto de Lei,2002.0,Saúde,DEM
59852,2002.0,2002-06-26T19:58,Projeto de Lei Complementar,2002.0,Previdência e Assistência Social,DEM
59853,2002.0,2002-06-26T20:00,Projeto de Lei Complementar,2002.0,Previdência e Assistência Social,DEM
59855,2002.0,2002-06-26T20:01,Projeto de Lei,2002.0,Direitos Humanos e Minorias; Trabalho e Emprego,PT
59862,2002.0,2002-06-26T20:15,Proposta de Emenda à Constituição,2002.0,Administração Pública,PDT
59870,2002.0,2002-06-19T16:01,Indicação ,2002.0,Educação,PT
59878,2002.0,2002-06-26T20:16,Projeto de Lei,2002.0,Direito Civil e Processual Civil,PSDB
59903,2002.0,2002-06-26T20:17,Projeto de Lei,2002.0,Administração Pública,PTB
59911,2002.0,2002-06-26T20:18,Projeto de Lei,2002.0,Trabalho e Emprego,PP
59914,2002.0,2002-06-26T20:20,Projeto de Lei,2002.0,Previdência e Assistência Social,PP
59915,2002.0,2002-06-26T20:21,Projeto de Lei,2002.0,"Indústria, Comércio e Serviços; Saúde",PP
63933,2002.0,2002-08-06T16:03,Projeto de Lei,2002.0,Finanças Públicas e Orçamento,PTB
63935,2002.0,2002-08-06T16:05,Projeto de Lei,2002.0,"Viação, Transporte e Mobilidade",PP
63938,2002.0,2002-08-06T16:06,Projeto de Lei,2002.0,Trabalho e Emprego,PT
63939,2002.0,2002-08-06T16:07,Projeto de Lei,2002.0,Trabalho e Emprego,PT
63952,2002.0,2002-08-06T16:19,Projeto de Lei,2002.0,Administração Pública,PT
63954,2002.0,2002-08-06T16:19,Projeto de Lei,2002.0,"Ciência, Tecnologia e Inovação",PPS
64000,2002.0,2002-08-06T17:05,Projeto de Lei,2002.0,Finanças Públicas e Orçamento,PSDB
64002,2002.0,2002-08-06T17:06,Projeto de Lei,2002.0,Educação,PMDB
64003,2002.0,2002-08-06T17:07,Projeto de Lei,2002.0,Saúde,PMDB
64005,2002.0,2002-08-06T17:07,Projeto de Lei Complementar,2002.0,Economia,PMDB
64012,2002.0,2002-08-06T17:13,Proposta de Emenda à Constituição,2002.0,Estrutura Fundiária,PTB
64015,2002.0,2002-08-06T17:16,Projeto de Lei,2002.0,"Indústria, Comércio e Serviços",PT
64032,2002.0,2002-08-06T17:38,Indicação ,2002.0,Educação,PP
64044,2002.0,2002-08-06T18:13,Projeto de Lei,2002.0,Defesa e Segurança,PFL
64046,2002.0,2002-08-06T18:18,Projeto de Lei,2002.0,Comunicações,PFL
64047,2002.0,2002-08-06T18:18,Requerimento de Informação,2002.0,"Economia; Energia, Recursos Hídricos e Minerais",PFL
64048,2002.0,2002-08-06T18:20,Requerimento de Informação,2002.0,"Economia; Energia, Recursos Hídricos e Minerais",PFL
64064,2002.0,2002-08-06T18:24,Projeto de Lei,2002.0,"Ciência, Tecnologia e Inovação; Comunicações; Indústria, Comércio e Serviços",PPS
